Name,Type,Date Range,URL
JP-MBF,DBF,2004-06-01 - 2005-10-14,FLUXNET2015
CA-Oas,DBF,2002-07-04 - 2010-10-25,http://doi.org/10.17190/AMF/1375197
US-SRS,WSA,2011-07-07 - 2018-11-26,http://doi.org/10.1002/2015WR018016
DE-RuR,GRA,2012-03-23 - 2014-10-22,FLUXNET2015
RU-Cok,OSH,2003-06-13 - 2005-08-20,FLUXNET2015
CN-Du2,GRA,2007-01-30 - 2008-12-08,FLUXNET2015
US-Wjs,SAV,2007-06-02 - 2021-12-29,http://doi.org/10.17190/AMF/1246120
RU-Fyo,ENF,2002-07-05 - 2014-10-26,FLUXNET2015
US-CF4,CRO,2017-06-15 - 2021-08-06,http://doi.org/10.17190/AMF/1543384
US-Prr,ENF,2011-05-11 - 2014-09-23,http://doi.org/10.1016/J.POLAR.2013.03.003
US-xYE,ENF,2019-05-26 - 2021-10-10,http://doi.org/10.17190/AMF/1617743
AR-TF1,WET,2016-02-08 - 2018-03-30,http://doi.org/10.17190/AMF/1543389
CH-Cha,GRA,2005-09-10 - 2014-11-06,FLUXNET2015
US-xAB,ENF,2020-11-26 - 2021-10-11,http://doi.org/10.17190/AMF/1617726
CA-Ca2,ENF,2002-07-04 - 2010-11-17,http://doi.org/10.17190/AMF/1480301
GF-Guy,EBF,2004-08-20 - 2014-10-09,FLUXNET2015
US-Wi7,OSH,2005-06-09 - 2005-10-20,http://doi.org/10.17190/AMF/1246022
CH-Oe2,CRO,2004-03-10 - 2014-11-04,FLUXNET2015
US-ICt,OSH,2012-06-05 - 2021-09-16,http://doi.org/10.17190/AMF/1246131
US-Snf,GRA,2018-07-30 - 2020-07-02,http://doi.org/10.17190/AMF/1579718
US-xML,DBF,2019-09-14 - 2021-12-28,http://doi.org/10.17190/AMF/1671897
US-ARb,GRA,2005-03-11 - 2006-10-30,http://doi.org/10.17190/AMF/1246025
US-Me2,ENF,2002-07-04 - 2020-08-19,http://doi.org/10.17190/AMF/1246076
US-xUN,MF,2017-07-05 - 2021-10-26,http://doi.org/10.17190/AMF/1617741
CN-Sw2,GRA,2011-01-21 - 2012-01-22,FLUXNET2015
NL-Loo,ENF,2005-04-04 - 2014-11-03,FLUXNET2015
CN-Du3,GRA,2009-08-04 - 2010-04-26,FLUXNET2015
FR-Gri,CRO,2004-05-15 - 2014-11-04,FLUXNET2015
US-xTR,DBF,2017-08-17 - 2021-11-03,http://doi.org/10.17190/AMF/1634886
CA-NS1,ENF,2002-07-04 - 2005-09-25,http://doi.org/10.17190/AMF/1245998
US-Rls,CSH,2015-05-12 - 2021-11-30,FLUXNET2015
US-HB2,ENF,2019-01-01 - 2019-12-31,FLUXNET2015
CA-MA3,GRA,2009-05-31 - 2011-10-23,FLUXNET2015
US-xWD,GRA,2019-04-18 - 2021-11-09,http://doi.org/10.17190/AMF/1579724
CA-NS3,ENF,2002-07-06 - 2005-09-22,http://doi.org/10.17190/AMF/1246000
US-Mo3,CRO,2016-06-01 - 2021-12-28,http://doi.org/10.17190/AMF/1870589
IT-Ro1,DBF,2002-07-04 - 2008-12-31,FLUXNET2015
US-Ivo,WET,2004-05-26 - 2007-10-03,FLUXNET2015
CH-Lae,MF,2005-01-01 - 2014-11-08,FLUXNET2015
ES-Amo,OSH,2007-10-21 - 2012-12-31,FLUXNET2015
US-Ro1,CRO,2004-03-21 - 2016-11-20,http://doi.org/10.1016/J.AGRFORMET.2004.11.005
US-Tw4,WET,2013-11-27 - 2021-07-19,http://doi.org/10.17190/AMF/1246151
CA-TP2,ENF,2003-04-06 - 2007-10-12,http://doi.org/10.17190/AMF/1246010
US-xDL,MF,2017-12-19 - 2021-12-21,http://doi.org/10.17190/AMF/1579721
US-xBL,DBF,2019-10-12 - 2021-12-30,http://doi.org/10.17190/AMF/1671893
US-Wi8,DBF,2002-07-04 - 2002-09-24,http://doi.org/10.17190/AMF/1246023
US-ICh,OSH,2007-09-08 - 2021-09-18,http://doi.org/10.17190/AMF/1246133
US-DS3,CRO,2021-08-06 - 2021-12-02,http://doi.org/10.17190/AMF/1890490
US-Ro5,CRO,2017-02-25 - 2020-12-10,http://doi.org/10.17190/AMF/1419508
AT-Neu,GRA,2002-07-04 - 2012-11-28,FLUXNET2015
DE-Hai,DBF,2002-07-04 - 2012-09-24,FLUXNET2015
CA-NS6,OSH,2002-07-04 - 2005-09-21,http://doi.org/10.17190/AMF/1246003
CA-TP1,ENF,2003-04-05 - 2017-11-29,FLUXNET2015
IT-CA2,CRO,2011-08-03 - 2014-09-21,FLUXNET2015
US-Wi9,ENF,2004-06-04 - 2005-08-26,http://doi.org/10.17190/AMF/1246024
